,eccentricity,inertia_tensor-0-0,major_axis_length,perimeter,solidity,moments_central-3-0,moments_hu-0,moments_hu-1,std_intensity,75th Percentile,iqr
465,0.7527732309999999,3596772.2630000003,7586.375979,33033.29234,0.785944375,7690000000000000.0,0.273333352,0.011677451,0.16521314199999998,0.16521314199999998,0.079940274
466,0.7493348059999999,3280410.387,7244.917727,29931.64105,0.904604583,3200000000000000.0,0.217363177,0.007198756,0.110874421,0.110874421,0.075276472
467,0.7536493590000001,3438831.0130000003,7417.677472,30513.195480000002,0.850847042,6570000000000000.0,0.24115708600000002,0.009149212,0.127624567,0.127624567,0.074833135
468,0.756825932,3524539.6769999997,7510.018744,30369.56197,0.82670075,6540000000000000.0,0.253566419,0.010355927,0.17626723,0.17626723,0.096052435
469,0.747533894,3327135.95,7296.198681999999,30262.814710000002,0.884701583,-4470000000000000.0,0.22583302,0.007667506,0.10634895,0.10634895,0.068433441
470,0.754504271,3457687.3260000004,7439.142587,31760.47993,0.844514792,5760000000000000.0,0.244153488,0.009437596,0.165057461,0.165057461,0.094947387
471,0.74415624,3617749.7189999996,7608.281031999999,34244.631480000004,0.780326042,6080000000000000.0,0.279385318,0.011444268999999998,0.19193241800000002,0.19193241800000002,0.090930275
472,0.75630729,3675085.413,7669.37656,35643.40645,0.782837333,3600000000000000.0,0.279412197,0.012526446,0.184352711,0.184352711,0.08804649
473,0.7471011059999999,3190335.5310000004,7144.615909,27759.7189,0.934565333,2500000000000000.0,0.205085016,0.006303058,0.11026477400000001,0.11026477400000001,0.081470639
474,0.7457348009999999,3293487.026,7259.343143000001,30615.56197,0.8953475000000001,3350000000000000.0,0.22131089,0.007265763000000001,0.125903338,0.125903338,0.083108241
475,0.746673767,3194293.999,7149.059695,26757.3045,0.9344494170000001,1860000000000000.0,0.205456606,0.006305873,0.103212165,0.103212165,0.076149115
476,0.7467842929999999,3162231.311,7113.0664,27104.01727,0.944969542,1970000000000000.0,0.20110565100000002,0.006046584,0.100299023,0.100299023,0.07633393
477,0.7460877909999999,3372625.8819999998,7345.999848,30388.217780000003,0.8687182920000001,4210000000000000.0,0.233487804,0.008108546,0.153182216,0.153182216,0.093848827
478,0.748117622,3401607.295,7377.944222,30783.52034,0.8565860829999999,5310000000000000.0,0.238356772,0.008578602,0.156828724,0.156828724,0.092937289
479,0.7465724029999999,3274552.481,7238.396212000001,30464.803560000004,0.902465208,3520000000000000.0,0.218111148,0.007101233,0.12076915699999999,0.12076915699999999,0.08122597599999999
480,0.74813029,3331849.44,7301.397931999999,29835.99238,0.887848208,2970000000000000.0,0.22521399399999997,0.007659371,0.130908988,0.130908988,0.08473807800000001
481,0.753644001,3520067.1380000003,7505.607917,32357.59682,0.829700833,3960000000000000.0,0.25320268,0.010085629,0.148409905,0.148409905,0.081598003
482,0.7531478070000001,3388569.66,7363.5301469999995,32642.213089999997,0.864849458,5870000000000000.0,0.23392486399999998,0.008576728,0.12386714900000001,0.12386714900000001,0.075553626
483,0.7543019129999999,3322877.5489999996,7291.531918000001,28765.36983,0.8990454170000001,2390000000000000.0,0.22038043100000002,0.007677684000000001,0.13226660199999998,0.13226660199999998,0.088052075
484,0.7474618409999999,3244045.7180000003,7204.505174,28928.76785,0.918007792,2410000000000000.0,0.21221953100000002,0.006767333,0.12467178400000001,0.12467178400000001,0.087442459
485,0.75181012,3260455.6339999996,7222.853026000001,28486.44195,0.915409375,2630000000000000.0,0.212939758,0.00703679,0.121733762,0.121733762,0.08480801
486,0.748635043,3448673.565,7429.290824,31803.84032,0.8412156670000001,5250000000000000.0,0.24596967100000003,0.009170497,0.15159321,0.15159321,0.08601284
487,0.7482462590000001,3226951.07,7185.538783,28860.046019999998,0.9236229579999999,2720000000000000.0,0.20964943,0.006642991,0.115541738,0.115541738,0.08253535599999999
