eccentricity,extent,moments_hu-0,moments_hu-1,moments_hu-2,euler_number,mean_intensity,std_intensity,25th Percentile,75th Percentile,iqr
0.745147753,0.864008333,0.233957807,0.008084559,7.48e-06,-5,0.064165657,0.162412636,0.064165657,0.162412636,0.098246979
0.753301717,0.824962458,0.250901477,0.009878042,2.49e-05,-13,0.08533789300000001,0.186874441,0.08533789300000001,0.186874441,0.101536548
0.748189063,0.740352833,0.30268165399999997,0.013840891999999999,5.36e-05,-4,0.115835651,0.19604583399999997,0.115835651,0.19604583399999997,0.080210182
0.7667682709999999,0.782475,0.275703966,0.013177478000000001,4.18e-05,0,0.097474576,0.185253522,0.097474576,0.185253522,0.087778947
0.7457943490000001,0.766219167,0.287382033,0.012257081000000001,2.05e-05,-1,0.10185155300000001,0.185804207,0.10185155300000001,0.185804207,0.083952654
0.7445480659999999,0.827707833,0.25148426,0.009299666,1.4000000000000001e-05,-5,0.081245859,0.17871553,0.081245859,0.17871553,0.097469671
0.752371143,0.704192583,0.321965445,0.016154239,0.000132123,-4,0.14476755300000002,0.22384588800000002,0.14476755300000002,0.22384588800000002,0.079078335
0.7402338340000001,0.726255833,0.307693597,0.013481779,4.35e-05,-15,0.12986049,0.212302679,0.12986049,0.212302679,0.082442189
0.755134215,0.748096042,0.293277603,0.013681088000000001,8.48e-05,-5,0.11298202199999999,0.19582009,0.11298202199999999,0.19582009,0.082838068
0.7318836890000001,0.740875,0.299467969,0.012000006,1.42e-05,-1,0.13309121599999998,0.224505785,0.13309121599999998,0.224505785,0.091414569
0.7440842040000001,0.8206075829999999,0.256085482,0.009609886,7.59e-06,-5,0.093170604,0.199498018,0.093170604,0.199498018,0.106327415
0.7549583009999999,0.724263917,0.31073464,0.015338259,0.000141084,-11,0.124275679,0.20237463600000002,0.124275679,0.20237463600000002,0.078098957
0.7501382659999999,0.654917,0.35731444100000004,0.019569334,9.39e-05,-16,0.125968728,0.17567355199999998,0.125968728,0.17567355199999998,0.049704824
0.74232287,0.7861461670000001,0.271894804,0.010692083,2.58e-05,-5,0.091236573,0.17557883300000002,0.091236573,0.17557883300000002,0.08434226
0.756037108,0.611127875,0.393824355,0.024835511,0.00023632299999999998,-15,0.169140955,0.213304159,0.169140955,0.213304159,0.044163204000000005
0.75819867,0.8083082079999999,0.264547534,0.01138748,2.2100000000000002e-05,-3,0.09561748199999999,0.19768317600000002,0.09561748199999999,0.19768317600000002,0.102065694
0.757258987,0.841507417,0.246200759,0.009794384,2.56e-05,-10,0.082517492,0.190441296,0.082517492,0.190441296,0.107923805
0.750066762,0.828823167,0.25285421199999997,0.009794559,1.07e-05,-10,0.085750181,0.189006703,0.085750181,0.189006703,0.10325652199999999
0.7389532879999999,0.803729875,0.25848293699999997,0.009423971,2.3800000000000003e-05,-2,0.107752642,0.218519275,0.107752642,0.218519275,0.110766633
0.74723339,0.875658333,0.22924735699999998,0.007883494,6.81e-06,-1,0.057232222,0.15140762300000002,0.057232222,0.15140762300000002,0.09417540099999999
0.7461797840000001,0.901338375,0.218158391,0.00708362,5.96e-06,-1,0.052378509000000004,0.158433819,0.052378509000000004,0.158433819,0.106055309
0.74587773,0.807227,0.262284836,0.010216055,1.65e-05,-26,0.10078678,0.20592623100000002,0.10078678,0.20592623100000002,0.105139451
0.754831503,0.801791667,0.26502998899999997,0.011147531,3.41e-05,0,0.090801113,0.182003787,0.090801113,0.182003787,0.091202674
0.739113641,0.77612925,0.275174541,0.010693138999999999,1.67e-05,-22,0.11495232699999999,0.21466310800000002,0.11495232699999999,0.21466310800000002,0.099710781
0.7440905590000001,0.846116833,0.24293425600000002,0.008648611,1.01e-05,-15,0.069882993,0.16429037400000002,0.069882993,0.16429037400000002,0.094407381
0.738663548,0.7113524999999999,0.318286593,0.01425837,4.23e-05,-5,0.138969227,0.219051512,0.138969227,0.219051512,0.080082285
0.7461330759999999,0.934241958,0.20518842,0.0062642109999999996,1.53e-06,-4,0.037228837,0.140529909,0.037228837,0.140529909,0.103301072
0.958318806,0.356060606,0.35947718700000003,0.093159945,0.000373299,1,0.330866833,0.052278366,0.330866833,0.052278366,-0.278588467
0.747779911,0.7852623329999999,0.275233397,0.011409716,2.05e-05,-15,0.101067331,0.193561727,0.101067331,0.193561727,0.09249439599999999
0.745000773,0.762268625,0.282904919,0.011808315,5.3400000000000004e-05,-28,0.103800969,0.186595729,0.103800969,0.186595729,0.082794761
0.7408047040000001,0.57122575,0.411592109,0.024226431,0.00049539,-18,0.159254894,0.18600708600000002,0.159254894,0.18600708600000002,0.026752192
0.737040391,0.682566542,0.325964733,0.014774865,0.00011869,-15,0.146682898,0.21559654,0.146682898,0.21559654,0.068913642
0.73010882,0.7363465,0.295691766,0.011545254,1.6e-05,-14,0.125534389,0.210589973,0.125534389,0.210589973,0.085055585
0.733451725,0.7156795420000001,0.312290966,0.013203266000000002,2.8499999999999998e-05,-9,0.146088508,0.232875392,0.146088508,0.232875392,0.08678688400000001
0.7447386970000001,0.829027417,0.25036648,0.009230249,8.87e-06,-4,0.085424107,0.188692602,0.085424107,0.188692602,0.103268495
0.741104773,0.829358333,0.24948262899999998,0.008920839,1.1e-05,0,0.08599089900000001,0.18837597399999997,0.08599089900000001,0.18837597399999997,0.10238507599999999
0.745143619,0.9714470829999999,0.191082019,0.005392716,5.62e-08,-10,0.014264766000000002,0.083390614,0.014264766000000002,0.083390614,0.069125848
0.7467160159999999,0.856191,0.238930652,0.008530707,9.75e-06,-5,0.066725418,0.163346754,0.066725418,0.163346754,0.09662133699999999
0.7522576120000001,0.889184833,0.22395546,0.007809544,1.13e-05,-8,0.058798113,0.16650720300000002,0.058798113,0.16650720300000002,0.10770909
0.7467685709999999,0.8723698329999999,0.23213550800000002,0.008055527,6.68e-06,-4,0.063929143,0.167797305,0.063929143,0.167797305,0.10386816300000001
0.743897659,0.863679125,0.23488569199999998,0.008073451,4.71e-06,-6,0.062813286,0.158716398,0.062813286,0.158716398,0.095903111
0.748435537,0.811623042,0.259875685,0.010221576,2.62e-05,-15,0.092223394,0.191482514,0.092223394,0.191482514,0.09925912
0.7516470609999999,0.7379672079999999,0.300592411,0.014005284,9.31e-05,-9,0.124146447,0.210296923,0.124146447,0.210296923,0.08615047599999999
0.744577052,0.65869725,0.35889297200000003,0.018943892,0.00018397400000000002,-29,0.129336888,0.183440355,0.129336888,0.183440355,0.054103467
0.748810937,0.894438042,0.22091629,0.00740717,7.54e-06,-4,0.053017497999999996,0.154560738,0.053017497999999996,0.154560738,0.10154324099999999
0.743846122,0.795009083,0.26945526399999997,0.010620697,2.4100000000000003e-05,-14,0.098261987,0.194081423,0.098261987,0.194081423,0.095819436
0.7504310279999999,0.808437125,0.261606901,0.010512758,2.1899999999999997e-05,-12,0.09619516800000001,0.198511005,0.09619516800000001,0.198511005,0.10231583699999999
